date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:51:57	12035/12035	---M--	200	added ('OK')	image/jpeg	etag:%222f03-53b7772d2327d%22	http://www.misfitvillage.com/wp-content/uploads/2016/09/sb2-400x250.jpg	C:/Users/Evan/Documents/Youtube%20-%20The%20Jobless%20Coder/RAW%20Footage%20Dump/The%20Cult%20Called%20Maxwolf%20Event%20Society/SickBrick/www.misfitvillage.com/wp-content/uploads/2016/09/sb2-400x250.jpg	(from http://www.misfitvillage.com/)
05:51:59	46587/46587	---MC-	200	added ('OK')	text/html	date:Thu,%2016%20Jul%202020%2012:00:16%20GMT	http://www.misfitvillage.com/index.php/tainted-fate-new-logo/	C:/Users/Evan/Documents/Youtube%20-%20The%20Jobless%20Coder/RAW%20Footage%20Dump/The%20Cult%20Called%20Maxwolf%20Event%20Society/SickBrick/www.misfitvillage.com/index.php/tainted-fate-new-logo/index.html	(from http://www.misfitvillage.com/)
05:52:02	73988/73988	---MC-	200	added ('OK')	text/html	date:Thu,%2016%20Jul%202020%2012:00:18%20GMT	http://www.misfitvillage.com/index.php/fellow-developer-stole-steam-game-part-2/	C:/Users/Evan/Documents/Youtube%20-%20The%20Jobless%20Coder/RAW%20Footage%20Dump/The%20Cult%20Called%20Maxwolf%20Event%20Society/SickBrick/www.misfitvillage.com/index.php/fellow-developer-stole-steam-game-part-2/index.html	(from http://www.misfitvillage.com/)
05:52:15	92041/92041	---M--	200	added ('OK')	image/jpeg	etag:%2216789-53b779104327c%22	http://www.misfitvillage.com/wp-content/uploads/2016/09/Screenshot005.jpg	C:/Users/Evan/Documents/Youtube%20-%20The%20Jobless%20Coder/RAW%20Footage%20Dump/The%20Cult%20Called%20Maxwolf%20Event%20Society/SickBrick/www.misfitvillage.com/wp-content/uploads/2016/09/Screenshot005.jpg	(from http://www.misfitvillage.com/)
05:52:15	3224/3224	---M-Z	200	added ('OK')	application/x-javascript	etag:%22c80d23fc72369314fc97ca9789cbd624%22	http://connect.facebook.net/en_US/sdk.js	C:/Users/Evan/Documents/Youtube%20-%20The%20Jobless%20Coder/RAW%20Footage%20Dump/The%20Cult%20Called%20Maxwolf%20Event%20Society/SickBrick/connect.facebook.net/en_US/sdk.js	(from http://www.misfitvillage.com/)
05:52:17	102851/102851	---M--	200	added ('OK')	image/jpeg	etag:%22191c3-53b7794942fcd%22	http://www.misfitvillage.com/wp-content/uploads/2016/09/RoboWaveScreen01.jpg	C:/Users/Evan/Documents/Youtube%20-%20The%20Jobless%20Coder/RAW%20Footage%20Dump/The%20Cult%20Called%20Maxwolf%20Event%20Society/SickBrick/www.misfitvillage.com/wp-content/uploads/2016/09/RoboWaveScreen01.jpg	(from http://www.misfitvillage.com/)
05:52:27	48537/48537	---MC-	200	added ('OK')	application/javascript	date:Thu,%2016%20Jul%202020%2012:00:37%20GMT	https://apis.google.com/js/plusone.js	C:/Users/Evan/Documents/Youtube%20-%20The%20Jobless%20Coder/RAW%20Footage%20Dump/The%20Cult%20Called%20Maxwolf%20Event%20Society/SickBrick/apis.google.com/js/plusone.js	(from http://www.misfitvillage.com/)
05:52:28	361/361	---M-Z	200	added ('OK')	application/javascript	etag:%2282bfd941d2c9b3b9e0650a27c9d11737%22	http://assets.pinterest.com/js/pinit.js	C:/Users/Evan/Documents/Youtube%20-%20The%20Jobless%20Coder/RAW%20Footage%20Dump/The%20Cult%20Called%20Maxwolf%20Event%20Society/SickBrick/assets.pinterest.com/js/pinit.js	(from http://www.misfitvillage.com/)
05:52:28	48531/48531	---MC-	200	added ('OK')	application/javascript	date:Thu,%2016%20Jul%202020%2012:00:38%20GMT	https://apis.google.com/js/platform.js	C:/Users/Evan/Documents/Youtube%20-%20The%20Jobless%20Coder/RAW%20Footage%20Dump/The%20Cult%20Called%20Maxwolf%20Event%20Society/SickBrick/apis.google.com/js/platform.js	(from http://www.misfitvillage.com/)
05:52:28	289876/289876	---M--	200	added ('OK')	image/jpeg	etag:%2246c54-565e08f17001e%22	http://www.misfitvillage.com/wp-content/uploads/2018/02/screen02-2.jpg	C:/Users/Evan/Documents/Youtube%20-%20The%20Jobless%20Coder/RAW%20Footage%20Dump/The%20Cult%20Called%20Maxwolf%20Event%20Society/SickBrick/www.misfitvillage.com/wp-content/uploads/2018/02/screen02-2.jpg	(from http://www.misfitvillage.com/)
